formula,density
In10.5Sn19Bi53.5Pb17,9.159
Bi33.7In66.3,7.99
Sn22Bi50Pb28,9.437
Bi0.218In0.782,7.99
In51.34Sn5.56Bi33.1,8.052
Bi0.405Sn0.285Pb0.163In0.147,9.11
Bi33In51Cd16,8.49
Bi49In21Pb18Sn12,9.307
Bi32.5In51Sn16.5,7.9
Sn16Bi52Pb32,9.566
Bi31.6In48.8Sn19.6,8.04
Bi0.416Sn0.194Pb0.232Cd0.158,9.59
Bi0.385Sn0.222Pb0.253In0.14,9.4
Bi0.23In0.582Sn0.188,8.02
Sn15.5Bi52.5Pb32,9.714
In21Sn12Bi49Pb18,9.229
Bi0.355In0.645,8.37
Bi0.387Sn0.167Pb0.144In0.302,9
In19.1Sn8.3Bi44.7Cd5.3Pb22.6,9.33
Bi49In21Pb18Sn12,9.37
Bi51.6Cd8.2Pb40.2,10.417
Bi0.468Pb0.288Sn0.244,9.7
Bi52Pb26In22,9.72
In25.2Sn17.3Bi57.5,8.696
Sn13.3Bi50Cd10Pb26.7,9.582
Bi0.425In0.352Sn0.223,8.54
Bi54In29.7Sn16.3,8.47
Sn51.2Cd30.6Pb18.2,8.12
Bi52Pb30Sn18,9.6
Bi44.7Pb22.6In19.1Sn8.3Cd5.3,9.16
Bi45Pb23In19Sn8Cd5,9.18
In4Sn40Bi56,8.525
Bi0.355Sn0.601Zn0.044,8.282
Bi44.39Pb27.38Sn14.22Cd14.01,9.78
Bi50Pb26.7Sn13.3Cd10,9.58
Bi58Sn42,8.56
Bi50Pb26.7Sn13.3Cd10,9.6
Ga67In20.5Sn12.5,6.17
Ga78.55In21.45,6.197
Sn26Bi53Cd21,8.773
Ga0.735In0.154Sn0.111,6.37
Ga0.835In0.165,6.2
Ga0.784In0.149Sn0.067,6.29
Ga74Sn22Cd4,5.983
Ga0.916Sn0.084,6.07
Ga0.95Sn0.05,6
Ga,5.91
Ga86.5Sn13.5,6.16
Ga0.979Al0.021,5.85
Ga93Zn5Cd2,6.02
Ga82Sn12Zn6,5.961
Bi,9.75
Ga96.5Zn3.5,5.946