enthalpy,0-norm,2-norm,MagpieData minimum Number,MagpieData range Number,MagpieData avg_dev Number,MagpieData minimum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData avg_dev MeltingT,MagpieData range Row,MagpieData range CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData avg_dev Electronegativity,MagpieData minimum NdValence,MagpieData minimum NfValence,MagpieData minimum NValence,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,compound possible,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Total weight,Lambda entropy,Electronegativity delta,Mixing enthalpy,Mean cohesive energy,Shear modulus delta,Shear modulus local mismatch
49.31,3,0.6265780079128217,48.0,35.0,16.8858,70.0,16.0,5.215199999999999,594.22,89.14000000000004,20.82402000000003,1.0,9.0,3.3708000000000005,2.02,0.33,0.1029419999999998,10.0,0.0,12.0,0.0,4.0,1.1046,19.495,33.285,13.789999999999996,4.500950999999999,12.0,194.0,182.0,83.76,76.0656,12.0,False,0.0196254342803056,4.610205113184304,-0.013516010805675,1.6303,1.0269773878477162,16523.052200000002,-21.898112303203725,0.0098645734339628,0.9964,2.2154000000000003,0.2698127855683337,2.33644
40.44,3,0.6893475175845635,49.0,34.0,16.3072,75.0,11.0,3.1808000000000005,544.4,114.64999999999998,22.751679999999997,1.0,9.0,4.300800000000001,2.02,0.24,0.037632,10.0,0.0,13.0,3.0,5.0,0.5376000000000001,24.26,33.285,9.024999999999997,0.6781119999999972,12.0,141.0,129.0,68.68,63.4816,12.0,False,0.0218645143523624,4.430572575491318,-0.0156573508954838,1.7248000000000003,1.026990174921587,16910.5744,-14.260283016942823,0.0118332837815612,0.8064000000000001,2.5776000000000003,0.2384956926621115,1.6918848000000006
16.91,4,0.6018720794321664,49.0,34.0,13.774100000000002,75.0,11.0,3.36515,600.61,170.86,33.1456235,1.0,9.0,3.098800000000003,2.33,0.55,0.0999260000000001,10.0,0.0,13.0,3.0,5.0,0.6099,24.26,33.285,9.024999999999997,2.55112,12.0,225.0,213.0,86.055,79.23885,12.0,False,0.0385228682277356,14.310104041451522,0.0112976438078011,3.1490250000000004,1.0726451454833443,18163.9304,-6.6559470302848185,0.0184741875200714,0.3689,2.3726,0.4082731426000209,2.50319255
18.664,3,0.6138403701289122,50.0,33.0,11.202400000000004,80.0,6.0,2.72,600.61,95.53000000000004,27.50809600000005,1.0,9.0,2.842399999999996,2.33,0.3700000000000001,0.1323840000000001,10.0,0.0,14.0,3.0,4.0,0.5,28.11,33.285,5.174999999999997,1.9927599999999983,12.0,225.0,213.0,100.02,88.02,12.0,False,0.0421978853967018,5.092893589168074,0.003479392161695,3.6204,1.0723457474978682,18862.24,-4.837660433634265,0.0054279362477378,0.9328,2.3492,0.3884037083001166,2.4619704
20.4,2,0.7437324787852148,49.0,34.0,15.193308,75.0,11.0,4.915482000000003,544.4,114.64999999999998,51.232728300000005,1.0,6.0,2.681172000000006,2.02,0.24,0.1072468800000001,10.0,0.0,13.0,3.0,5.0,0.8937239999999999,24.26,32.95,8.690000000000001,3.88323078,12.0,139.0,127.0,96.20099999999998,56.75147400000001,139.0,False,0.0210270412956518,2.7843875060272425,0.0002208594785354,1.564017,1.0270857081832985,14655.07288,-12.016330991725916,0.0296595899142381,0.893724,2.40542,0.6338958029920432,2.038137582
21.71,4,0.5416899482176127,49.0,34.0,16.220976,75.0,11.0,3.355020000000001,600.61,170.86,39.79204272,1.0,9.0,3.634127999999999,2.33,0.55,0.1031615999999999,10.0,0.0,13.0,3.0,5.0,0.6010199999999999,24.26,33.285,9.024999999999997,2.9107575,12.0,225.0,213.0,102.153,73.02393000000001,12.0,False,0.0409825620364433,11.385904632594446,0.0116590295513736,3.354804,1.0728157834285827,169.121258,-6.441764363941253,0.0212071313393319,0.4993559999999999,2.47913,0.45510521895959,2.942665038
22.46,2,0.8118177135293366,49.0,34.0,11.592368,75.0,11.0,3.7504720000000056,544.4,114.64999999999998,39.09014679999999,1.0,6.0,2.045712000000012,2.02,0.24,0.08182848,10.0,0.0,13.0,3.0,5.0,0.6819040000000001,24.26,32.95,8.690000000000001,2.9628728800000004,12.0,139.0,127.0,111.314,43.300904,139.0,False,0.0184647391292687,2.907281778247085,0.0086460710445675,1.193332,1.0271370387356948,135.34540320000002,-12.786665984881306,0.0261023766500002,0.6819040000000001,2.4458800000000003,0.6588464195645438,1.555082072
23.4,4,0.575325994545701,49.0,34.0,14.7552,75.0,11.0,3.8514,600.61,170.86,45.262914,1.0,9.0,2.897999999999996,2.33,0.55,0.1140119999999999,10.0,0.0,13.0,3.0,5.0,0.7056,24.26,33.285,9.024999999999997,3.3205979999999995,12.0,225.0,213.0,92.49,78.8802,12.0,False,0.0400738112187459,35.02258496414528,0.0105284066244674,3.3189,1.0726655427990253,17805.3376,-6.421566185509998,0.0242040661762023,0.1548,2.3396000000000003,0.4826137308280071,2.6403318
24.34,3,0.6815305215849485,49.0,34.0,15.765734320987658,75.0,11.0,4.967937283950617,544.4,114.64999999999998,53.41578141530865,1.0,9.0,2.926530370370377,2.02,0.24,0.1133891437037037,10.0,0.0,13.0,3.0,5.0,0.9096687407407408,24.26,33.285,9.024999999999997,4.2823644740740745,12.0,141.0,129.0,92.41577777777778,59.15027209876545,139.0,False,0.021421006650347,4.554112899278859,-0.00196363737366,1.6276209876543215,1.0270724721234277,13472.03496,-15.583916175815032,0.030881249666679,0.7483051851851854,2.433257777777777,0.6355152340601178,2.559236384296297
24.51,4,0.5380334562088123,48.0,35.0,15.300544,70.0,16.0,4.036864,600.61,95.53000000000004,31.462884000000027,1.0,9.0,2.755232000000004,2.33,0.6400000000000001,0.14006304,10.0,0.0,12.0,0.0,4.0,0.932832,19.495,33.285,13.789999999999996,4.0141916,12.0,225.0,213.0,115.198,85.860736,12.0,False,0.0419102836453595,4.915194161014393,0.0068581731678954,3.5913200000000005,1.0725375235100216,175.79692440000002,-6.217223277509935,0.0091058665642598,1.23904,2.17028,0.4393339720785046,3.360155384
25.0,3,0.6281719509815764,48.0,35.0,15.1404,70.0,16.0,5.3922,594.22,164.47000000000003,65.432694,1.0,6.0,2.442000000000004,2.02,0.33,0.115632,10.0,0.0,12.0,0.0,5.0,1.4892,19.495,32.95,13.455000000000002,4.345902000000001,12.0,194.0,182.0,105.89,61.9674,139.0,False,0.0199538785219344,8.910075976842311,0.0007077082013108,1.6053000000000002,1.0270690616596685,14550.6472,-20.932927661329185,0.0283295151932608,0.4619999999999999,2.1902,0.7393218930018285,3.7956198
25.36,4,0.5302056204907677,49.0,34.0,15.238564,75.0,11.0,3.18549,600.61,170.86,41.91542916,1.0,9.0,3.2549439999999983,2.33,0.55,0.14091594,10.0,0.0,13.0,3.0,5.0,0.5813499999999999,24.26,33.285,9.024999999999997,3.0219745,12.0,225.0,213.0,112.307,77.23639,12.0,False,0.0451864435081499,13.548277717940282,0.0051938589448379,3.884584,1.0725593085479133,175.30719399999998,-5.393534303268825,0.0205571297351213,0.433928,2.4027700000000003,0.4923582084750322,2.9444687940000005
26.66,3,0.6592298536929286,48.0,35.0,5.203391999999992,70.0,16.0,3.428304,600.61,56.21000000000004,27.53547312000002,1.0,4.0,1.1682239999999993,2.33,0.6400000000000001,0.17080176,10.0,0.0,12.0,0.0,4.0,0.678576,19.495,32.95,13.455000000000002,3.146557680000001,12.0,225.0,213.0,112.55,103.76760000000002,12.0,False,0.0382203022826232,10.010479225427934,-0.0048434104408801,3.261132,1.0638561626002818,20034.59884,-5.195366566819637,0.0077642037760741,0.43296,2.03606,0.4951079948669826,2.641025064
27.07,4,0.575325994545701,49.0,34.0,14.7552,75.0,11.0,3.8514,600.61,170.86,45.262914,1.0,9.0,2.897999999999996,2.33,0.55,0.1140120000000001,10.0,0.0,13.0,3.0,5.0,0.7056,24.26,33.285,9.024999999999997,3.3205979999999995,12.0,225.0,213.0,92.49,78.8802,12.0,False,0.0400738112187459,35.022584964145274,0.0105284066244674,3.3189,1.0726655427990253,17805.3376,-6.421566185509997,0.0242040661762023,0.1548,2.3396,0.4826137308280072,2.6403318
27.9,3,0.6135275054958824,49.0,34.0,14.573919999999998,75.0,11.0,4.349056,544.4,114.64999999999998,49.77022208,1.0,9.0,2.9653439999999978,2.02,0.24,0.1084531199999999,10.0,0.0,13.0,3.0,5.0,0.8081280000000001,24.26,33.285,9.024999999999997,4.40658144,12.0,141.0,129.0,99.26,55.148320000000005,139.0,False,0.0207006479497249,11.192528232032954,0.0017100844229159,1.513008,1.0270947486795896,14533.61504,-20.052858994112587,0.0310238318804634,0.369088,2.53408,0.627297497181334,3.160080992
27.9,3,0.6268572405261026,49.0,34.0,14.810250000000002,75.0,11.0,4.488,544.4,114.64999999999998,50.684514,1.0,9.0,2.954250000000004,2.02,0.24,0.1098539999999999,10.0,0.0,13.0,3.0,5.0,0.8313000000000001,24.26,33.285,9.024999999999997,4.3996425,12.0,141.0,129.0,98.055,55.93575,139.0,False,0.0208464406241243,8.940720493540445,0.0010719723104838,1.535625,1.0270908732472663,14606.296,-19.24581206405808,0.0310689863267868,0.4485,2.5118,0.636348539426815,3.04975005
28.98,4,0.5381431036443746,49.0,34.0,16.622225999999998,75.0,11.0,3.916728,600.61,170.86,51.336963,1.0,9.0,3.2503860000000007,2.33,0.55,0.12948732,10.0,0.0,13.0,3.0,5.0,0.70821,24.26,33.285,9.024999999999997,3.72994766,12.0,225.0,213.0,102.569,70.10040599999999,12.0,False,0.0400537745452002,29.15676504814675,0.0038569733546037,3.222441,1.072895804081975,165.21182080000003,-6.772953103396893,0.0273734474766071,0.1905479999999999,2.4214,0.549904637030182,2.971002354
28.99,3,0.6012520270236101,50.0,33.0,12.03408,80.0,6.0,2.718144,600.61,95.53000000000004,28.57858559999999,1.0,9.0,3.039263999999996,2.33,0.3700000000000001,0.13556736,10.0,0.0,14.0,3.0,4.0,0.4979519999999999,28.11,33.285,5.174999999999997,2.03202432,12.0,225.0,213.0,104.82,86.87952000000001,12.0,False,0.0433431759888405,4.756692270979453,0.0028554140823939,3.7519199999999993,1.072357373121868,186.4416672,-4.682380742886906,0.00547479319009,1.0189439999999998,2.3710400000000003,0.3975447945519972,2.559641184
29.0,4,0.575325994545701,49.0,34.0,14.7552,75.0,11.0,3.8514,600.61,170.86,45.262914,1.0,9.0,2.897999999999996,2.33,0.55,0.1140119999999999,10.0,0.0,13.0,3.0,5.0,0.7056,24.26,33.285,9.024999999999997,3.3205979999999995,12.0,225.0,213.0,92.49,78.8802,12.0,False,0.0400738112187459,35.02258496414528,0.0105284066244674,3.3189,1.0726655427990253,17805.3376,-6.421566185509998,0.0242040661762023,0.1548,2.3396000000000003,0.4826137308280071,2.6403318
29.0,3,0.6216108107168021,49.0,34.0,11.554399999999996,75.0,11.0,3.8688,600.61,170.86,45.77830399999998,1.0,6.0,1.9136,2.33,0.55,0.146744,10.0,0.0,13.0,3.0,5.0,0.728,24.26,32.95,8.690000000000001,3.297008000000001,12.0,225.0,213.0,95.32,86.65280000000001,12.0,False,0.0413370999111353,6.616757686583591,0.0049210275972467,3.5100000000000007,1.0723845178732816,18780.1768,-4.9793282965791485,0.0242218659369099,0.6864,2.2158,0.4655904397579437,2.1467472
29.88,3,0.6534278843147114,49.0,34.0,11.956319999999998,75.0,11.0,4.03908,544.4,114.64999999999998,47.17871256,1.0,9.0,2.384640000000001,2.02,0.24,0.1036425599999999,10.0,0.0,13.0,3.0,5.0,0.7542720000000002,24.26,33.285,9.024999999999997,4.301445599999998,12.0,141.0,129.0,110.166,45.15636,139.0,False,0.0188099582258483,10.433432186771018,0.0077979815438707,1.2397,1.027131851397008,137.207048,-22.72885997171175,0.0307922443122462,0.36248,2.55836,0.6999980441753937,3.0725107120000006
30.35,4,0.59074359920358,48.0,35.0,11.977304000000004,70.0,16.0,3.733,600.61,95.53000000000004,29.145925660000003,1.0,9.0,2.2009539999999848,2.33,0.6400000000000001,0.1432241399999999,10.0,0.0,12.0,0.0,4.0,0.72,19.495,33.285,13.789999999999996,3.372132850000001,12.0,225.0,213.0,104.228,92.228,12.0,False,0.0406503957899086,5.777849535659321,0.0044878022005044,3.472709,1.0723533359140085,18684.213000000003,-6.0261041013224,0.0081180643973312,0.963688,2.16563,0.442246232296456,2.969924284
30.82,2,0.7362404498531713,49.0,34.0,15.5703,75.0,11.0,5.03745,544.4,114.64999999999998,52.50396749999999,1.0,6.0,2.7476999999999987,2.02,0.24,0.109908,10.0,0.0,13.0,3.0,5.0,0.9159,24.26,32.95,8.690000000000001,3.9795855000000016,12.0,139.0,127.0,93.915,58.15965,139.0,False,0.0212692844327383,2.7778881442220267,-0.001056445516613,1.602825,1.0270779652530737,148.245652,-11.954815827014224,0.0299914335755903,0.9159,2.3993,0.6265868917197354,2.08870995
32.47,3,0.6511973587170021,49.0,34.0,16.41855,75.0,11.0,4.3815,544.4,114.64999999999998,41.04828399999999,1.0,9.0,3.529349999999998,2.02,0.24,0.0852465599999999,10.0,0.0,13.0,3.0,5.0,0.7785499999999999,24.26,33.285,9.024999999999997,3.3052698000000005,12.0,141.0,129.0,66.321,62.469150000000006,12.0,False,0.0217601068280138,22.556468573588827,-0.0167295949475807,1.7106249999999998,1.0269837794693264,16963.4696,-17.015208115829996,0.0265574541450338,0.1817,2.43176,0.4306190786751875,2.5192274020000003
