enthalpy,0-norm,2-norm,MagpieData minimum Number,MagpieData range Number,MagpieData avg_dev Number,MagpieData minimum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData avg_dev MeltingT,MagpieData range Row,MagpieData range CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData avg_dev Electronegativity,MagpieData minimum NdValence,MagpieData minimum NfValence,MagpieData minimum NValence,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,compound possible,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Total weight,Lambda entropy,Electronegativity delta,Mixing enthalpy,Mean cohesive energy,Shear modulus delta,Shear modulus local mismatch
25.264,3,0.63407412815853,50.0,33.0,8.545150000000001,80.0,6.0,2.6565,600.61,95.53000000000004,28.36313600000002,1.0,9.0,2.1591499999999977,2.33,0.3700000000000001,0.140864,10.0,0.0,14.0,3.0,4.0,0.49875,28.11,33.285,5.174999999999997,2.139600000000001,12.0,225.0,213.0,100.155,92.56275,12.0,False,0.0412041609229379,6.351170352233275,0.0007423825927649,3.528025,1.0721952016100635,19441.876,-4.857199530414251,0.0056419466810308,0.7222999999999999,2.2808,0.3977860633245584,2.35414065
34.7,3,0.626737584639696,50.0,33.0,9.633599999999996,80.0,6.0,2.6832,600.61,95.53000000000004,27.85476,1.0,9.0,2.4407999999999994,2.33,0.3700000000000001,0.1366799999999999,10.0,0.0,14.0,3.0,4.0,0.4992,28.11,33.285,5.174999999999997,2.0689800000000016,12.0,225.0,213.0,99.12,90.6048,12.0,False,0.0415136037342223,5.770212423609318,0.0021231703601235,3.5531999999999995,1.072261924029828,19219.7608,-4.87198979036001,0.0055412039842272,0.8064,2.3078,0.3923022041377204,2.390424
36.8,5,0.5480875842417889,48.0,35.0,14.608799999999995,70.0,16.0,4.0680000000000005,600.61,170.86,44.722908000000025,1.0,9.0,2.507200000000004,2.33,0.6400000000000001,0.140576,10.0,0.0,12.0,0.0,5.0,0.8399999999999999,19.495,33.285,13.789999999999996,3.668465000000001,12.0,225.0,213.0,104.54,83.286,12.0,False,0.0422540945457335,139.19940641568795,0.0069611452893323,3.6074000000000006,1.0725401238432744,17862.995,-6.3550889279095895,0.0230288046915276,0.0435999999999999,2.2359,0.5390863050201015,2.975003600000001
36.8,5,0.5450357786420997,48.0,35.0,14.776644,70.0,16.0,4.091838,600.61,170.86,44.94327107999997,1.0,9.0,2.5377219999999863,2.33,0.6400000000000001,0.1393290000000002,10.0,0.0,12.0,0.0,5.0,0.8500000000000001,19.495,33.285,13.789999999999996,3.7008864000000017,12.0,225.0,213.0,104.748,82.916712,12.0,False,0.0421879178175708,243.230431755578,0.0072427622699144,3.597291,1.0725549177009213,17798.238980000002,-6.420630838493,0.0230795984956606,0.025116,2.23666,0.5411555340454245,3.012321236
36.91,3,0.5951957661139737,49.0,34.0,16.427950000000003,75.0,11.0,4.428500000000001,544.4,114.64999999999998,46.12948736,1.0,9.0,3.5011500000000004,2.02,0.24,0.10006656,10.0,0.0,13.0,3.0,5.0,0.7879500000000002,24.26,33.285,9.024999999999997,4.016900799999999,12.0,141.0,129.0,85.47100000000002,62.45035,12.0,False,0.0219047380175654,20.012506267009247,-0.0060309949475808,1.7106250000000005,1.0270479069695897,155.704936,-18.467908729853665,0.0293940158672562,0.2193,2.51376,0.5228988704769425,3.0492766020000013
38.0,3,0.6374778427522011,49.0,34.0,16.715160000000004,75.0,11.0,4.5846,544.4,114.64999999999998,44.06873526000002,1.0,9.0,3.50892,2.02,0.24,0.0944103599999999,10.0,0.0,13.0,3.0,5.0,0.81756,24.26,33.285,9.024999999999997,3.66122295,12.0,141.0,129.0,70.74600000000001,63.44568,12.0,False,0.0219724273990778,14.315985112710353,-0.0142285162761291,1.7388,1.02699870815631,16630.0092,-17.031192614249953,0.028027757974805,0.2894399999999999,2.43746,0.4664342363905746,2.6672407920000003
38.64,4,0.5584465059430491,48.0,35.0,13.61965446,70.0,16.0,3.962961639999999,600.61,95.53000000000004,30.85068922720001,1.0,9.0,2.332248119999999,2.33,0.6400000000000001,0.1532661212,10.0,0.0,12.0,0.0,4.0,0.83939514,19.495,33.285,13.789999999999996,3.8024743061000006,12.0,225.0,213.0,114.1614,90.69889092,12.0,False,0.0420724069639885,5.283638786943893,0.0039400770548859,3.64299459,1.0723829498898212,18212.710266,-5.955260352170976,0.0088075011105298,1.1196018,2.13254,0.4636688830947031,3.30016248824
39.8,4,0.59074359920358,48.0,35.0,11.977304000000004,70.0,16.0,3.733,600.61,95.53000000000004,29.145925660000003,1.0,9.0,2.200953999999985,2.33,0.6400000000000001,0.1432241400000001,10.0,0.0,12.0,0.0,4.0,0.72,19.495,33.285,13.789999999999996,3.3721328500000003,12.0,225.0,213.0,104.228,92.228,12.0,False,0.0406503957899086,5.777849535659321,0.0044878022005044,3.472709,1.0723533359140085,18684.213,-6.0261041013224,0.0081180643973312,0.963688,2.16563,0.4422462322964561,2.969924284
40.0,4,0.59074359920358,48.0,35.0,11.977304000000004,70.0,16.0,3.733,600.61,95.53000000000004,29.145925660000003,1.0,9.0,2.200953999999985,2.33,0.6400000000000001,0.1432241400000001,10.0,0.0,12.0,0.0,4.0,0.72,19.495,33.285,13.789999999999996,3.3721328500000003,12.0,225.0,213.0,104.228,92.228,12.0,False,0.0406503957899086,5.777849535659321,0.0044878022005044,3.472709,1.0723533359140085,18684.213,-6.0261041013224,0.0081180643973312,0.963688,2.16563,0.4422462322964561,2.969924284
40.6,3,0.6236216801875958,48.0,34.0,9.750831999999992,70.0,11.0,4.358664000000005,600.61,95.53000000000004,45.73521920000001,1.0,7.0,2.871296,2.33,0.6400000000000001,0.15588864,10.0,0.0,12.0,0.0,4.0,1.698912,19.495,33.285,13.789999999999996,5.285468159999997,141.0,225.0,84.0,172.506,32.262144,141.0,False,0.0446127836958293,3.895841273068986,-0.0011694758573074,3.030604,1.0731229342322552,13288.7686,-4.24069797098547,0.0107128569118943,1.1910079999999998,2.3321,0.3572641110606615,3.1502897039999995
44.1,3,0.6994011724325317,30.0,53.0,15.73715,69.0,17.0,3.09134,692.68,187.6,26.700026,2.0,26.0,4.65263,2.02,0.3700000000000001,0.0371614,10.0,0.0,12.0,0.0,4.0,0.638262,13.96,33.285,19.325,1.6153082000000034,12.0,194.0,182.0,97.537,60.73127,141.0,False,0.0312153175446805,2.9407967745842987,0.0030181417345621,2.233785,1.090705110182194,148.41074799999998,-6.920627291704205,0.0024723359358299,1.209116,2.72044,0.2905050184242763,2.06824961
44.8,2,0.7161005515987262,50.0,33.0,16.0776,80.0,6.0,2.9232,544.4,39.31999999999999,19.156704,1.0,9.0,4.3848,2.02,0.06,0.029232,10.0,0.0,14.0,3.0,4.0,0.4871999999999999,32.95,33.285,0.3349999999999937,0.1632119999999966,12.0,141.0,129.0,66.18,62.8488,12.0,False,0.0217207943555316,3.064135200833153,-0.0170871273625807,1.7051999999999998,1.0269816485033405,17106.6832,-11.988199908183748,0.0,0.9744,2.5832,0.1815389105713318,1.3617240000000004
53.3,1,1.0,83.0,0.0,0.0,86.0,0.0,0.0,544.4,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,10.0,14.0,29.0,3.0,3.0,0.0,32.95,32.95,0.0,0.0,12.0,12.0,0.0,12.0,0.0,12.0,True,0.0,0.0,0.0239939999999999,0.0,1.0,208.9804,0.0,0.0,1e-06,2.18,0.0,0.0
67.2,3,0.7117232608254419,31.0,19.0,8.127099999999999,74.0,6.0,1.2796999999999994,505.08,202.17,68.70642299999997,1.0,20.0,8.341499999999996,1.96,0.1799999999999999,0.0343500000000001,10.0,0.0,13.0,4.0,5.0,0.21875,18.8575,33.285,14.427499999999997,3.900673,64.0,141.0,77.0,89.0,33.5,64.0,False,0.0700664661479269,1.2667280715154252,-0.0226883221451613,4.6431,1.0925992695543765,8509.085,-1.4447783213654823,0.0210242733170636,1.9832,2.7918000000000003,0.4921352285502481,6.6052212
69.03,3,0.7591192264723637,31.0,19.0,7.17507,74.0,6.0,1.205399999999997,505.08,202.17,61.70211809999998,1.0,20.0,7.301489999999999,1.96,0.1799999999999999,0.0306293399999998,10.0,0.0,13.0,4.0,5.0,0.1973579999999998,18.8575,33.285,14.427499999999997,3.577153124999997,64.0,141.0,77.0,84.097,29.54259,64.0,False,0.0664063150252218,1.2908649883701375,-0.0135228224392754,4.090275,1.0929285751102111,82.105187,-1.4298506429270124,0.0186900596907616,1.68462,2.80197,0.422142831608104,5.623306458
69.7,2,0.814260707636074,31.0,18.0,6.065630999999999,74.0,1.0,0.3369795000000006,429.75,126.83999999999996,42.74247978,1.0,20.0,6.739590000000003,1.81,0.03,0.0101093850000001,10.0,0.0,13.0,5.0,5.0,0.0,18.8575,24.26,5.4025,1.820531748749998,64.0,139.0,75.0,80.0875,25.273462500000004,64.0,False,0.0622360690339694,0.7056807117932485,-0.0063919438175606,3.53828475,1.0931864581583213,7939.58775,-1.115862145487954,0.0202348983111685,2.021877,2.747795,0.4581268930461196,5.6851811445
71.2,3,0.8008408081510333,31.0,19.0,6.201439999999999,74.0,6.0,0.8639680000000012,505.08,202.17,50.8730544,1.0,20.0,6.458592000000008,1.96,0.1799999999999999,0.0193522800000001,10.0,0.0,13.0,4.0,5.0,0.1250220000000001,18.8575,33.285,14.427499999999997,2.7778923200000003,64.0,141.0,77.0,80.334,25.611712,64.0,False,0.0623794523628447,1.133926697817451,-0.0066038779849398,3.5562240000000003,1.093178772373374,79.724284,-1.4006732518672955,0.0180860100402017,1.611904,2.7889,0.3983954065761281,5.0880832080000005
71.68,2,0.8511462858991984,31.0,18.0,4.959899999999999,74.0,1.0,0.2755499999999946,429.75,126.83999999999996,34.95076200000001,1.0,20.0,5.510999999999989,1.81,0.03,0.0082665,10.0,0.0,13.0,5.0,5.0,0.0,18.8575,24.26,5.4025,1.488658875000001,64.0,139.0,75.0,76.375,20.66625,64.0,False,0.0567038266485748,0.7293529818504851,0.0006062076931269,2.893275,1.09344098483821,77.163675,-1.158073380235913,0.0182532849303834,1.6533000000000002,2.76215,0.3925819796449177,4.64880405
75.2,3,0.7730459236035075,31.0,19.0,7.1928,70.0,10.0,2.129599999999998,594.22,291.31,83.07210399999997,1.0,22.0,6.837600000000002,1.96,0.27,0.0535919999999998,10.0,0.0,12.0,0.0,5.0,0.6215999999999999,18.8575,33.285,14.427499999999997,4.940298,64.0,194.0,130.0,86.14,32.7672,64.0,False,0.0670311265608582,2.655680160322124,-0.0128860884458672,4.1172,1.1017582819625018,8220.766,-1.2669083483453512,0.0058052374990881,0.7696000000000001,2.8166,0.2452456316344117,3.54302
78.0,2,0.8754713016427209,31.0,19.0,4.437449999999998,74.0,6.0,1.4013000000000018,505.08,202.17,47.216803500000005,1.0,17.0,3.9703500000000016,1.96,0.1499999999999999,0.0350325,10.0,0.0,13.0,4.0,5.0,0.2335499999999998,18.8575,33.285,14.427499999999997,3.369542625,64.0,141.0,77.0,74.395,17.983349999999994,64.0,False,0.0524441482254799,2.3261478581810717,0.0048515966892753,2.452275,1.0935960946935923,7633.6245,-1.196388314772825,0.0041605110184067,0.4671,2.85455,0.1863272943749319,2.22222825
78.29,2,0.9198434649439,31.0,19.0,2.923872000000003,74.0,6.0,0.923328000000004,505.08,202.17,31.11153696,1.0,17.0,2.616096000000009,1.96,0.1499999999999999,0.0230831999999999,10.0,0.0,13.0,4.0,5.0,0.1538879999999997,18.8575,33.285,14.427499999999997,2.220219120000002,64.0,141.0,77.0,70.468,11.849376000000005,64.0,False,0.0429063972657614,2.492424345741898,0.0120758335981126,1.6158240000000004,1.0938612699419223,73.837908,-1.302593412188406,0.0033793164948269,0.307776,2.83772,0.1471556267687011,1.4642443200000002
79.22,2,0.9513148795220224,31.0,19.0,1.8049999999999995,74.0,6.0,0.5699999999999974,505.08,202.17,19.20614999999999,1.0,17.0,1.6149999999999949,1.96,0.1499999999999999,0.01425,10.0,0.0,13.0,4.0,5.0,0.0949999999999998,18.8575,33.285,14.427499999999997,1.3706124999999982,64.0,141.0,77.0,67.85,7.314999999999995,64.0,False,0.0338899954884687,2.719069357450778,0.0168969415563311,0.9975,1.0940391035390755,72.17235,-1.4370135345840165,0.0026562455475568,0.19,2.8265,0.1135723631797294,0.903925
81.12,1,1.0,31.0,0.0,0.0,74.0,0.0,0.0,302.91,0.0,0.0,0.0,0.0,0.0,1.81,0.0,0.0,10.0,0.0,13.0,5.0,5.0,0.0,18.8575,18.8575,0.0,0.0,64.0,64.0,0.0,64.0,0.0,64.0,True,0.0,0.0,0.0239939999999999,0.0,1.0,69.723,0.0,0.0,1e-06,2.81,0.0,0.0
82.59,2,0.9792252039240004,13.0,18.0,0.7401240000000001,73.0,1.0,0.0411180000000007,933.47,630.56,25.92736608,1.0,1.0,0.0411180000000007,1.81,0.1999999999999999,0.0082235999999999,0.0,0.0,3.0,5.0,5.0,0.0,16.48,18.8575,2.3775000000000013,0.097758044999999,64.0,225.0,161.0,67.381,6.619998000000001,64.0,False,0.0074820062823478,3.2571868716557906,0.022516954799008,0.143913,1.0314826609812295,68.82542931059999,-15.134668491137395,0.0034953828413952,0.082236,2.82218,0.0418892409053438,0.2236819199999999
85.03,3,0.9315578350268972,30.0,18.0,0.6683999999999992,69.0,5.0,0.6137999999999986,692.68,389.7699999999999,47.08534199999996,1.0,22.0,0.8623999999999978,1.81,0.1600000000000001,0.0193439999999999,10.0,0.0,12.0,0.0,5.0,0.6509999999999997,13.96,19.495,5.535,0.4665374999999999,64.0,194.0,130.0,73.1,16.925999999999995,64.0,False,0.0254931888038621,10.286056112294345,0.0164483479444461,0.7238000000000001,1.103048133773222,7036.106,-3.780466265044711,0.0017077335935594,0.0784,2.704,0.050192606627775,0.274659
86.5,3,0.8309031231136395,30.0,20.0,4.027199999999999,69.0,11.0,1.3392000000000013,692.68,389.7699999999999,78.140424,1.0,17.0,3.5904000000000043,1.96,0.31,0.0339840000000001,10.0,0.0,12.0,0.0,5.0,0.6888,13.96,33.285,19.325,3.1176119999999985,64.0,194.0,130.0,81.04,27.9456,64.0,False,0.0499707773232027,4.043120671465726,0.0027364657064722,2.4696,1.0935849939922535,7534.26,-1.9509684874288615,0.0039571546052781,0.4223999999999999,2.762,0.1756653078375044,2.021748
88.5,2,0.9656345064256971,30.0,1.0,0.0675500000000001,69.0,5.0,0.3377499999999973,692.68,389.7699999999999,26.328963500000008,0.0,0.0,0.0,1.81,0.1600000000000001,0.010808,10.0,0.0,12.0,0.0,5.0,0.3377499999999998,13.96,18.8575,4.897500000000001,0.3308261250000022,64.0,194.0,130.0,68.55,8.781499999999996,64.0,False,0.0082160685267069,399284.1249147767,0.0215376431906715,0.20265,1.0269846723038245,6957.201,-18.68568161198443,0.0,1e-06,2.7589,0.0014227534347713,0.0097947499999999
23.398,3,0.63118935352238,50.0,33.0,8.767999999999995,80.0,6.0,2.6624,600.61,95.53000000000004,28.48896000000002,1.0,9.0,2.2144000000000084,2.33,0.3700000000000001,0.141056,10.0,0.0,14.0,3.0,4.0,0.4992,28.11,33.285,5.174999999999997,2.1406720000000017,12.0,225.0,213.0,100.8,92.352,12.0,False,0.0414076885226687,6.214374677186104,0.0007305727309278,3.5520000000000005,1.0722008228142943,19396.7408,-4.83864377966888,0.0056419466810308,0.7424000000000001,2.2856,0.3991476671465541,2.3732864000000005
28.53,5,0.5450357786420997,48.0,35.0,14.776644,70.0,16.0,4.091838000000001,600.61,170.86,44.94327107999997,1.0,9.0,2.537721999999996,2.33,0.6400000000000001,0.1393289999999999,10.0,0.0,12.0,0.0,5.0,0.85,19.495,33.285,13.789999999999996,3.700886400000001,12.0,225.0,213.0,104.748,82.916712,12.0,False,0.0421879178175708,243.23043175557865,0.0072427622699144,3.597291,1.0725549177009208,17798.238980000002,-6.420630838493,0.0230795984956606,0.025116,2.23666,0.5411555340454245,3.012321236
